"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Greece","GRC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3765000","3835000","3799000","4941000","4681000","4594000","5802000","6291000","7235000","7685000","",
"Grenada","GRD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333000","333000","331000","391000","485000","488000","580000","629000","658000","854000","982000","1055000","1168000","1277000","651000","694000","718000","721000","846000","992000","1130000","1195000","1328000","",
"Guam","GUM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","468877993.137413","495725260.336813","521760154.607359","557225978.03052","553940044.910471","555516441.014894","543374125.711645","580605964.880834","614189541.24386","620997575.70194","655961372.385943","665107187.062453","635370456.441304","663296333.577539","672967337.461595","688877974.814145","703851659.94172","703396000.965971","742819568.797745","784624997.697599","824735442.287103","",
"Hong Kong SAR, China","HKG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47594000","53144000","58901000","61096000","64540000","60936000","68903000","72300000","75812000","80682000","81911000","81958000","84442000","84816000","85276000","84414000","84519000","89082000","91758000","91304000","",
"Honduras","HND","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149000","162000","183000","202000","235000","274000","279000","279000","277000","295000","284000","295000","315000","387000","395000","408000","449000","464000","471000","557000","692000","654000","","",
"Heavily indebted poor countries (HIPC)","HPC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2357000","2497000","1873000","2880000","2680000","2927000","2763000","2578000","1615000","1923000","",
"Haiti","HTI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13083000","12064000","12173000","12317000","10622000","11065000","11167000","12966000","14283000","17558000","17759000","16597000","17056000","17162000","16640000","16082000","16634000","16143000","16038000","16340000","17276000","18895000","20297000","",
"IBRD only","IBD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133564319.033161","138211489.277383","149487225.439252","153388158.645972","161723446.296438","184619761.138767","191929796.446423","185329208.580386","188240866.598885","208434527.050092","227814437.392931","245612629.507417","270478493.960725","288593910.494242","273231051.763161","306381787.975963","340685719.94303","376274863.091003","417631076.439073","417788383.790037","439469975.697476","461267354.116672","500809567.959206","",
"IDA & IBRD total","IBT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168679894.564284","174499605.517057","188985834.234308","194409398.091931","205835260.584968","235015277.364182","243608455.705607","235532318.79066","240367638.684011","266559223.495341","291417338.232404","313352280.223735","345506771.180099","369571827.546566","352052183.120957","392642090.185396","438633898.427425","484719486.640836","539988978.872079","541135544.604025","568921768.333747","596636097.150422","646462047.358723","",
"IDA total","IDA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2205000","2505000","3231000","3478000","3941000","4106000","4967000","5158000","5486000","5053000","6235000","6750000","7454000","8025000","8074000","8176000","8340000","8856000","",
"IDA only","IDX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3056000","3464000","3726000","3811000","4115000","4416000","4564000","4940000","5351000","6213000","7185000","8340000","9783000","10868000","11067000","12988000","13994000","14920000","16626000","18330000","20376000","21872000","23943000","",
"Not classified","INX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2547000","2733000","3053000","3330000","3576000","3783000","4216000","4634000","4929000","5409000","6113000","6848000","7713000","7877000","7047000","6917000","6514000","6600000","6579000","6676000","7094000","7646000","8171000","",
"Iran, Islamic Rep.","IRN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000","1218000","1433000","1690000","1856000","2286000","2400000","2921000","","","","","","","","","","","","7698000","6620000","9007000","10543000","",
"Iraq","IRQ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166000","190000","203000","227000","257000","283000","","","","","364000","440000","460000","414000","259000","299000","341000","358000","365000","400000","450000","536000","619000","",
"Israel","ISR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2259000","2505000","2707000","2983000","3203000","3530000","3561000","3273000","3299000","3614000","3687000","3713000","4147000","4207000","4007000","4269000","4387000","4349000","4757000","5181000","5891000","6781000","7597000","",
"Italy","ITA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18173000","17254000","17698000","17361000","20080000","20567000","22978000","24572000","21557000","23147000","24022000","25789000","26464000","27490000","28188000","27831000","27376000","26305000","26862000","27494000","29067000","31805000","",
"Jamaica","JAM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jordan","JOR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1128000","1141000","1233000","1347000","1561000","1625000","1755000","1276000","1229000","1420000","1523000","2139000","2094000","1972000","2054000","2708000","1931000","1567000","1498000","1230000","","1511000","1592000","",
"Japan","JPN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15298000","16695000","16803000","15806000","16358000","17819000","16216000","16523000","13296000","16831000","17404000","17535000","17295000","15987000","15446000","16637000","16994000","18491000","17473000","16903000","16214000","17116000","17889000","",
"Kazakhstan","KAZ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","523000","419000","502000","398000","1247000","2294000","2274000","2374000","3915000","2975000","3615000","4449000","4239000","5309000","5893000","7852000","8875000","9931000","10230000","","","","",
"Kenya","KEN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kyrgyz Republic","KGZ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42000","","","33000","45000","47000","46000","59000","116000","239000","201000","454000","559000","2273000","2354000","1342000","3061000","3621000","3993000","3790000","4008000","4185000","4446000","",
"Cambodia","KHM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31000","38000","45000","41000","49000","41000","37000","45000","60000","239000","568000","787000","996000","786000","340000","505000","710000","792000","872000","956000","1194000","1434000","1752000","",
"Kiribati","KIR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3819000","4649000","4542000","3067000","4342000","5508000","6084000","7123000","7086000","8826000","10080000","11610000","13325000","11996000","9494000","12488000","12694000","13737000","14846000","16081000","19310000","22383000","26496000","",
"Kuwait","KWT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","878000","1051000","1097000","1264000","1209000","1236000","1666000","1725000","1774000","1928000","2173000","2529000","2649000","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16449468.7744283","18543647.3529493","19080293.7154131","20752072.9109791","20199704.487115","22192213.7352473","23235110.474801","22963642.881289","23089419.3724915","25451921.1322444","27965354.6814402","29741568.7084848","32798749.1171889","33238762.5126995","31642234.691336","34174066.1305329","37086546.7499422","39625579.660116","41548372.410973","45326058.3291895","48039984.1059475","49440155.8201884","49482676.7566267","",
"Lao PDR","LAO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1686000","1788000","2052000","2857000","3320000","3067000","3059000","3049000","",
"Lebanon","LBN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","484000","493000","650000","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23686948.3192453","26387385.6134741","27297840.7848979","29260618.2402339","28912882.0768869","31205732.9063205","31822738.8126374","29708043.3559445","30008635.9769706","33621020.9840395","36548898.5839295","38559640.1042116","42019810.704011","42939800.1912387","41445339.0835397","44765668.143062","50034826.664746","53662614.2338365","55851145.5720206","59911162.020137","63829140.0991544","67732603.3083368","70008338.9216723","",
"Least developed countries: UN classification","LDC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","504000","494000","531000","518000","497000","524000","505000","533000","561000","680000","727000","757000","862000","966000","963000","1122000","1239000","1269000","1262000","1311000","1356000","1448000","1439000","",
"Lower middle income","LMC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30216623.205473","30698942.7048515","36721909.1233745","35210978.7869182","35369068.2692883","45454563.3047637","48711521.329115","51304231.3353421","53756303.677371","60606789.8138227","66404520.2140745","71122063.5753049","78055529.6833984","80755027.6342579","78959533.0528056","83562043.99467","94277501.9644226","103472853.132851","111717989.364365","112847646.238425","120818479.547892","128354981.680191","137622233.623195","",
"Low & middle income","LMY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116098108.359226","111756114.069779","120996141.562328","125203518.396749","129318460.955576","155592206.60819","168325256.815909","171264071.636972","182929208.606245","208732783.206797","228381092.083116","244994037.536527","272841652.975144","292780669.78347","289320703.771293","324006020.95384","365339958.078928","403808632.234575","453283775.317239","478545998.194495","492885287.036214","519279788.042458","563557371.713309","",
"Lesotho","LSO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98599622.5303296","101572876.292623","108398486.07167","112923859.76204","120347750.270167","134560623.118347","139010485.132467","132254161.570316","134812612.46315","147674763.391629","162808057.849933","178737607.803416","203431662.273504","222270388.856763","205626326.797761","228133978.492504","256879485.153346","283478095.864681","317087902.025521","313399675.744458","326309845.886813","338677351.55947","369509811.677116","",
"Lithuania","LTU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1925000","2864000","2981000","3241000","3487000","3632000","3390000","3584000","3502000","","1633000","1789000","1661000","1757000","1288000","1411000","1526000","1708000","1764000","1789000","1860000","1953000","2032000","",
"Luxembourg","LUX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694000","757000","809000","950000","923000","1049000","1021000","1100000","1185000","1084000","1132000","1190000","1362000","1237000","1643000","1580000","1624000","1815000","1702000","1588000","1802000","",
"Latvia","LVA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812000","1798000","1877000","1961000","2256000","2596000","2697000","2306000","2286000","2457000","2959000","3151000","3398000","3782000","3268000","3332000","3257000","183000","1776000","1846000","1720000","1939000","2055000","",
"Macao SAR, China","MAC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","629000","645000","599000","606000","671000","753000","908000","1291000","1446000","1537000","1466000","1251000","1391000","",
"St. Martin (French part)","MAF","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1317000","1212000","1203000","1275000","1545000","1508000","1701000","1533000","1612000","1603000","2247000","2135000","2669000","3421000","2293000","2175000","2378000","2323000","2195000","1850000","1910000","1864000","1849000","",
"Monaco","MCO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93300","117200","136100","146800","157600","180600","189800","177000","229000","",
"Madagascar","MDG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39000","","","","","","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000","32000","33000","37000","42000","42000","41000","43000","44000","61000","77000","74000","102000","123000","","","","","","","","","","",
"Middle East & North Africa","MEA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8450000","9001000","8910000","9637000","10352000","11079000","12075000","11948000","11044000","12494000","13305000","14002000","15257000","14527000","14104000","14334000","14799000","15581000","15911000","18261000","19603000","20223000","19067000","",
"Marshall Islands","MHL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103710492.068956","99779427.4165334","107726434.305085","111269627.192121","114199251.991664","137381442.253921","149282464.324338","152090868.445543","161983409.1896","185011382.145551","202664810.921087","218476003.619999","243778720.210542","260509402.400053","257316412.984688","287625227.19517","324419848.855541","358563001.384622","399883837.448063","422088962.176577","434641083.797547","458282948.190033","498274512.316371","",
"Macedonia, FYR","MKD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mali","MLI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163000","168000","172000","167000","179000","200000","179000","157000","174000","203000","225000","257000","280000","261000","264000","294000","309000","331000","363000","391000","428000","497000","573000","",
"Myanmar","MMR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mongolia","MNG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritius","MUS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107000","120000","132000","143000","154000","163000","161000","162000","161000","180000","183000","186000","213000","226000","196000","212000","219000","237000","228000","223000","242000","260000","283000","",
"Malawi","MWI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malaysia","MYS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20642000","23333000","26165000","25631000","26067000","30532000","36248000","29866000","32201000","30761000","","","","","","","","","","","","","","",
"North America","NAC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69482144.9446349","71962828.79733","72330781.9040579","73334653.9669784","75580367.7651055","80498740.9498727","77791086.0231906","75769980.9668407","73987416.2109688","81403125.1337733","84599964.3908046","86397500.2952421","89221058.9147056","90704200.6992666","88350754.4032663","89758021.2704454","89676005.7174186","92990634.2873059","94332888.8258662","101722290.115645","106478192.001527","111525149.081688","120785905.246017","",
"Namibia","NAM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Caledonia","NCL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59000","64000","63000","68000","69000","69000","68000","72000","78000","89000","96000","100000","106000","112000","119000","132000","124000","121000","121000","124000","127000","134000","135000","",
"Niger","NER","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","10000","10000","10000","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255000","282000","330000","422000","452000","486000","499000","532000","562000","701000","740000","773000","949000","942000","858000","908000","912000","979000","994000","959000","925000","981000","982000","",
"Netherlands","NLD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12313000","12807000","12858000","13553000","14184000","13896000","14214000","16719000","16425000","17130000","17039000","16695000","17523000","18399000","18340000","18368000","18560000","18628000","18094000","17928000","18070000","17938000","","",
